dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/aomfnb	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EOD – eBird Observation Dataset	2024. EOD – eBird Observation Dataset.	672481
10.15468/5nilie	8a863029-f435-446a-821e-275f4f641165	Observation.org, Nature data from around the World		564397
10.15468/uc1apo	6ac3f774-d9fb-4796-b3e9-92bf6c81c084	NABU|naturgucker		91158
10.15470/1byo33	f06fef3c-6ea6-4345-b724-a1b8e490dc55	Anillamiento SEO_Bird ringing	Ringing Database address ICONA - Ministry of Environment, year. Ringing and recovery data in Spain Ministry of Agriculture, Food and Environment, SEO / BirdLife, ICO, EBD-CSIC and GOB. Madrid.  Banco de datos de anillamiento del remite ICONA – Ministerio de Medio Ambiente, año. Datos de anillamiento y recuperaciones en España. Ministerio de Agricultura, Alimentación y Medio Ambiente, SEO/BirdLife, ICO, EBD-CSIC y GOB. Madrid.	91154
10.15468/ab3s5x	50c9509d-22c7-4a22-a47d-8c48425ef4a7	iNaturalist Research-grade Observations		46372
10.15468/kllkyl	38b4c89f-584c-41bb-bd8f-cd1def33e92f	Artportalen	SLU Swedish Species Information Centre, Liljeblad J (2025). Artportalen. Version 92.438. SLU Artdatabanken. Occurrence dataset. https://www.gbif.se/ipt/resource?r=artdata&v=92.438	46181
10.15468/ufkru4	18954bdb-3b72-423c-a0e7-a66d1ec69c28	INC PAS White Stork Archive	Wuczyński A (2024). INC PAS White Stork Archive. Version 1.0. Institute of Nature Conservation, Polish Academy of Sciences. Occurrence dataset. http://ipt.gbif.pl:8080/resource?r=imbio-ioppan-white-stork&v=1.0	41366
10.15468/0mbhvd	e7cbb0ed-04c6-44ce-ac86-ebe49f4efb28	Waarnemingen.be - Bird occurrences in Flanders and the Brussels Capital Region, Belgium	Van Asten K, Bouillard N, Driessens G, Dujardin R, Van Dorsselaer P, Vanderydt C, Ghyselen J, Maes K, Vermylen R, Teugels L, Pintens J, Adriaens P, Desmet E, Van De Ginste C, Leirens V, Allein S, Symens P, Faveyts W, Appels D, De Broyer A, Moysons P, Meganck G, De Keersmaecker K, Verbelen D, Hamelinck W, Moreau K, Beckers G, de Vries H, Baeten S, Gielen K, Vanreusel W, Herremans M, Desmet P, Swinnen K (2021). Waarnemingen.be - Bird occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.4. Natuurpunt. Occurrence dataset https://doi.org/10.15468/0mbhvd accessed via GBIF.org on 2025-09-30.	40742
10.15468/tww7cj	95db4db8-f762-11e1-a439-00145eb45e9a	DOF/BirdLife Denmark - Observations from DOFbasen		21825
10.15468/2jbra3	1066dc76-6416-477a-a953-aec2bcd8de6b	Historical Ringing Data of Birds with Polish Rings		16402
10.2989/00306525.2022.2125097	906e6978-e292-4a8b-9c39-adf6bb0f3323	Southern African Bird Atlas Project 2	Michael Brooks, Sanjo Rose, Res Altwegg, Alan TK Lee, Henk Nel, Ulf Ottosson, Ernst Retief, Chevonne Reynolds, Peter G Ryan, Sidney Shema, Talatu Tende, Les G Underhill & Robert L Thomson (2022) The African Bird Atlas Project: a description of the project and BirdMap data-collection protocol, Ostrich, DOI: 10.2989/00306525.2022.2125097	15951
10.15468/mag1qr	ee74ecf1-7acf-4c5d-8dcb-43e09fae474c	Données issues du portail Sigogne - Bourgogne-Franche-Comté - Observatoire LPO Franche-Comté des espèces (oiseaux, amphibiens, reptiles, mammifères sauf chauve-souris)		15779
10.15468/2pbhz4	c3710778-6492-4094-b7a6-9d63a76e133a	Faune Occitanie : Saisie naturaliste opportuniste-Données opportunistes OISEAUX de Faune-Occitanie		10636
10.15468/vn42mk	29cd9f29-7c76-4e6b-a8b8-78d91eaf49bf	Dreal Occitanie- Base Biodiv SINP - Données faune pour le rapportage européen DHFF-DO 2018		10312
10.15468/rzag5m	4b15eab0-67e6-42c6-bc1a-9bb44354d837	Estonian Ornithological Society (BirdLife Estonia)		10159
10.15468/ry4ux6	282d0ccb-4fa0-40f9-8593-105c77e88417	Southern African Bird Atlas Project	South African National Biodiversity Institute. Southern African Bird Atlas Project. Occurrence Dataset https://doi.org/10.15468/ry4ux6 accessed via GBIF.org on 2018-03-06.	7555
10.15468/nqx5dj	6c8d87be-829d-4364-b2bc-578258761cc2	INPA - Observations	Israel Nature and Parks Authority (published by BioGIS)	7455
10.15468/yf8wjf	7d539268-815c-4ebd-bb42-70f5039d4c60	Suivi d'oiseaux sauvages par marquage en France - CRBPO - Base de données de baguage et déplacements d'oiseaux de France / Bird ringing and movement database for France. Centre de Recherches sur la Biologie des Populations d'Oiseaux, Muséum National d'Histoire Naturelle, Paris, France. https://crbpo.mnhn.fr/		6068
10.15468/8qybjd	ab47c4a9-4b6a-4d59-b846-899d9420f7d3	CRBPO : STOC, Baguage	HENRY Pierre-Yves N, Inventaire National du Patrimoine Naturel (2019). CRBPO : STOC, Baguage. Version 1.1. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/8qybjd accessed via GBIF.org on 2022-12-14.	5989
10.15468/jnnald	aa6c5ee6-d4d7-4a65-a04f-379cffbf4842	ArtenFinder		5319
10.15468/69ck2f	88a3e4bb-b2e3-4693-a8ba-6334ec1afdb8	The VI national White Stork (Ciconia ciconia) census in Portugal (2014)	Encarnação V., Breves A. (2021): The VI national White Stork (Ciconia ciconia) census in Portugal (2014). v1.2. ICNF - Instituto da Conservação da Natureza e das Florestas. Dataset/Occurrence. http://ipt.gbif.pt/ipt/resource?r=cegonha_branca2014&amp;v=1.2	5065
10.15468/5cjx70	ba19fc1d-670c-426b-b99d-49f003792ac4	RU-BIRDS.RU, Birds observations database from Russia and neighboring regions.  Zoological Museum of M.V. Lomonosov Moscow State University.	Ukolov I, Kalyakin M, Voltzit O (2019). RU-BIRDS.RU, Birds observations database from Russia and neighboring regions.  Zoological Museum of M.V. Lomonosov Moscow State University.. Version 1.4. Lomonosov Moscow State University. Occurrence dataset https://doi.org/10.15468/5cjx70 accessed via GBIF.org on 2022-03-15.	4973
10.15468/sp9mjx	256b9877-cef3-4e8e-84e1-f23299c49655	Données naturalistes opportunistes Faune-France-Données Naturalistes Faune-France 2021 Communes		4853
