id,start,stop,event,isWarm,latitude,longitude,temperature,windSpeed,pressure,humidity,visibility,nebulosity,cloudHeight,moonPhase
  1,  0, 88,1,0,47.50,6.95,15.6, 7.0, 97510.0, 52.0,40000.0, 75.0,1250.0, 72.0
  2,  0, 79,0,1,47.50,6.95,13.9, 5.0, 98170.0, 58.0,40000.0, 90.0, 800.0, 44.0
  2, 79, 89,1,1,47.50,6.95,19.8, 2.0, 99260.0, 42.0,50000.0, 90.0,1750.0, 17.0
  3,  0, 83,1,0,47.50,6.95,10.0, 3.0, 96790.0, 53.0,20000.0, 10.0,1250.0, 62.0
  4,  0, 83,1,0,47.50,6.95,16.1, 2.0, 99110.0, 53.0, 7000.0, 10.0,, 77.0
  5,  0,163,0,1,47.50,6.95,26.7, 5.0, 98860.0, 49.0,35000.0, 90.0,1750.0,  4.0
  5,163,164,1,1,47.50,6.95,24.4, 4.0, 99250.0, 52.0,30000.0, 10.0,1250.0,  9.0
  6,  0,193,0,1,47.50,6.95,26.5, 3.0, 98140.0, 36.0,26870.0,,, 91.0
  6,193,194,1,1,47.50,6.95,30.0, 2.0, 97970.0, 40.0,20470.0,,1750.0, 84.0
  7,  0,170,0,1,47.50,6.95,25.3, 3.0, 99250.0, 48.0,55000.0, 10.0,1250.0, 72.0
  7,170,171,1,1,47.50,6.95,26.3, 5.0, 98860.0, 50.0,40000.0, 50.0,1250.0, 62.0
  8,  0,168,0,1,47.50,6.95,19.1, 2.0, 98690.0, 59.0,17000.0, 75.0, 800.0,  2.0
  8,168,169,1,1,47.50,6.95,23.6, 4.0, 98280.0, 42.0,30000.0, 40.0,1750.0,  0.0
  9,  0,145,0,1,47.50,6.95,29.6, 3.0, 97650.0, 43.0,15000.0, 90.0,1750.0, 73.0
  9,145,146,1,1,47.50,6.95,25.6, 5.0, 97120.0, 49.0,20000.0, 90.0,1750.0, 81.0
 10,  0,116,0,1,47.50,6.95,14.8, 3.0, 99640.0, 54.0,40000.0, 90.0,1250.0, 80.0
 10,116,117,1,1,47.50,6.95,17.7, 3.0, 99420.0, 50.0,40000.0, 25.0,1250.0, 71.0
 11,  0, 86,1,0,47.50,6.95, 2.0, 3.0, 97460.0, 74.0, 8000.0, 90.0, 450.0, 98.0
 12,  0,118,0,1,47.50,6.95,11.3, 2.0, 97860.0, 81.0,20000.0,100.0, 800.0,  1.0
 12,118,119,1,1,47.50,6.95,13.4, 1.0, 98160.0, 71.0,15000.0,100.0, 800.0,  0.0
 13,  0, 85,1,0,47.50,6.95, 7.6, 4.0, 97900.0, 74.0,15000.0,100.0, 800.0, 50.0
 15,  0,165,0,1,47.50,7.15,20.9, 4.0, 99650.0, 57.0, 8000.0, 10.0,1250.0,  7.0
 15,165,166,1,1,47.50,7.15,21.5, 3.0, 99410.0, 37.0,20000.0, 10.0,8000.0,  3.0
 16,  0,157,0,1,47.50,7.15,24.9, 2.0, 98030.0, 47.0,30000.0, 75.0,1250.0,  2.0
 16,157,158,1,1,47.50,7.15,28.2, 2.0, 97970.0, 40.0,25000.0, 90.0,1750.0,  5.0
 17,  0,168,0,1,47.50,7.15,17.2, 8.0, 98190.0, 77.0,50000.0, 90.0, 800.0, 19.0
 17,168,169,1,1,47.50,7.15,15.2, 6.0, 99070.0, 75.0,15000.0, 90.0, 450.0, 11.0
 18,  0,168,0,1,47.50,7.15,32.7, 1.0, 98710.0, 38.0,25000.0, 60.0,, 48.0
 18,168,169,1,1,47.50,7.15,33.9, 1.0, 98540.0, 37.0,30000.0, 40.0,1750.0, 59.0
 19,  0,170,0,1,47.50,7.15,27.0, 3.0, 98610.0, 40.0,50000.0,  0.0,, 91.0
 19,170,171,1,1,47.50,7.15,29.7, 2.0, 98390.0, 32.0,70000.0, 10.0,2250.0, 97.0
 20,  0, 86,0,1,47.50,7.15,22.8, 5.0, 97840.0, 40.0,50000.0, 90.0,1750.0,  1.0
 20, 86, 99,1,1,47.50,7.15, 7.5, 2.0, 98230.0, 79.0,12000.0, 90.0, 450.0, 83.0
 21,  0, 65,1,0,47.50,7.15,14.8, 3.0, 98250.0, 49.0,40000.0, 90.0,1750.0, 91.0
 22,  0,157,0,1,47.50,7.15,14.8, 3.0, 97980.0, 90.0,,,,  5.0
 22,157,158,1,1,47.50,7.15,13.9, 3.0, 98130.0, 87.0,20000.0,,, 11.0
 23,  0,152,0,1,47.50,7.15,18.0, 1.0, 98350.0, 56.0,25000.0, 90.0, 800.0, 82.0
 23,152,153,1,1,47.50,7.15,17.9, 4.0, 98380.0, 59.0,14000.0, 90.0,1250.0, 74.0
 24,  0,154,0,1,47.50,7.15,23.4, 1.0, 98950.0, 50.0,20000.0, 75.0,1250.0,  3.0
 24,154,155,1,1,47.50,7.15,25.2, 1.0, 98270.0, 54.0,15000.0, 75.0,1250.0,  8.0
 25,  0,116,0,1,47.50,7.15,21.6, 5.0, 97930.0, 52.0,40000.0, 90.0,3500.0, 99.0
 25,116,119,1,1,47.50,7.15,10.6, 1.0, 98720.0, 80.0,15000.0,100.0, 450.0, 80.0
 26,  0, 97,0,1,47.50,7.15,21.2, 1.0, 98480.0, 46.0,23000.0, 90.0,3500.0, 49.0
 26, 97,108,1,1,47.50,7.15, 9.9, 7.0, 97930.0, 69.0,20000.0,100.0,1750.0, 87.0
 27,  0,150,0,1,47.50,7.15,17.7, 2.0, 98500.0, 60.0,30000.0, 90.0,1250.0, 95.0
 27,150,151,1,1,47.50,7.15,21.4, 2.0, 98410.0, 49.0,50000.0, 90.0,1250.0,
 28,  0, 84,1,0,47.50,7.15, 9.8, 4.0, 98370.0, 55.0,15000.0, 90.0, 800.0, 97.0
 29,  0, 79,0,1,47.50,7.15,13.9, 5.0, 98170.0, 58.0,40000.0, 90.0, 800.0, 44.0
 29, 79, 87,1,1,47.50,7.15,19.0, 3.0, 99170.0, 42.0,50000.0, 10.0,,  4.0
 30,  0,115,0,1,47.50,7.15,21.3, 8.0, 98340.0, 53.0,30000.0, 60.0,1250.0, 79.0
